game_id,is_white,avg_pr,sesh_cnt,elo_diff,streak,result
ID0001,0,589.8000,1,0,1,1.0
ID0002,1,511.3333,2,8,2,1.0
ID0003,0,169.5000,3,16,3,1.0
ID0004,0,446.3333,1,-8,-1,0.0
ID0005,1,641.0000,2,-17,-2,0.0
ID0006,0,146.5000,3,-26,-3,0.0
ID0007,0,180.5000,4,-19,1,1.0
ID0008,1,528.5000,5,-28,-1,0.0
ID0009,1,0.0000,6,-19,1,1.0
ID0010,0,357.3333,7,-27,-1,0.0
ID0011,0,325.6667,8,-35,-2,0.0
ID0012,1,0.0000,9,-27,1,1.0
ID0013,0,569.0000,10,-21,2,1.0
ID0014,1,573.1667,11,-13,3,1.0
ID0015,1,493.7500,12,-22,-1,0.0
ID0016,1,771.0000,13,-30,-2,0.0
ID0017,0,126.0000,14,-22,1,1.0
ID0018,0,498.0000,15,-30,-1,0.0
ID0019,1,426.0000,16,-38,-2,0.0
ID0020,0,265.6667,1,15,-3,0.0
ID0021,1,131.0000,2,8,-4,0.0
ID0022,1,444.2500,3,1,-5,0.0
ID0023,1,155.7500,4,10,1,1.0
ID0024,0,246.3333,5,18,2,1.0
ID0025,0,278.6250,6,28,3,1.0
ID0026,1,290.5714,1,-7,-1,0.0
ID0027,0,301.0000,2,-15,-2,0.0
ID0028,1,453.5000,3,-8,1,1.0
ID0029,1,454.2857,4,-17,-1,0.0
ID0030,0,302.5000,5,-25,-2,0.0
ID0031,0,240.5000,6,-32,-3,0.0
ID0032,1,272.0000,7,-23,1,1.0
ID0033,0,333.3333,8,-15,2,1.0
ID0034,0,101.0000,9,-22,-1,0.0
ID0035,1,301.5000,10,-23,1,0.5
ID0036,0,347.5000,11,-32,-1,0.0
ID0037,1,186.3333,12,-24,1,1.0
ID0038,1,309.0000,13,-31,-1,0.0
ID0039,1,664.8000,14,-22,1,1.0
ID0040,1,171.0000,15,-12,2,1.0
ID0041,1,188.8333,1,-8,-1,0.0
ID0042,0,271.1429,2,-16,-2,0.0
ID0043,1,0.0000,3,-25,-3,0.0
ID0044,0,164.6667,4,-17,1,1.0
ID0045,0,320.3333,5,-10,2,1.0
ID0046,1,114.5000,6,-3,3,1.0
ID0047,0,258.2500,7,-12,-1,0.0
ID0048,0,215.5000,8,-5,1,1.0
ID0049,1,315.2000,9,-6,1,0.5
ID0050,0,312.1429,10,1,1,1.0
ID0051,0,334.0000,1,8,2,1.0
ID0052,1,0.0000,2,15,3,1.0
ID0053,1,145.0000,3,7,-1,0.0
ID0054,1,353.4000,4,15,1,1.0
ID0055,0,328.5000,5,17,1,0.5
ID0056,0,329.0000,6,8,-1,0.0
ID0057,1,271.3333,7,1,-2,0.0
ID0058,0,282.8750,8,-8,-3,0.0
ID0059,1,423.0000,9,-17,-4,0.0
ID0060,0,291.0000,10,-24,-5,0.0
ID0061,1,299.0000,11,-9,1,1.0
